league_trophies,fa_trophies,efl_trophies,wins,losses,draws,Team_name
3,7,1,511,182,245,Arsenal
0,0,0,16,24,12,Bournemouth
0,0,0,19,51,20,Burnley
4,6,4,497,202,239,Chelsea
0,0,0,78,135,75,Crystal Palace
0,1,0,337,329,272,Everton
0,0,0,35,88,43,Hull City
1,0,2,121,163,114,Leicester City
0,2,4,465,237,236,Liverpool
2,1,2,313,251,184,Manchester City
13,4,3,591,147,200,Manchester United
0,0,1,163,225,162,Middlesborough
0,0,0,214,276,182,Southampton
0,0,0,103,125,90,Stoke City
0,0,0,150,279,155,Sunderland
0,0,1,64,85,55,Swansea City
0,0,2,381,312,245,Tottenham Hotspur
0,0,0,28,69,31,Watford
0,0,0,99,184,111,West Bromwich Albion
0,0,0,256,323,203,West Ham United