id,gameweek,home_score,away_score,home_Team_id,away_Team_id,home_Manager_id,away_Manager_id
1,1,0,1,3,16,3,16
2,1,0,1,5,19,5,19
3,1,1,1,6,17,6,17
4,1,2,1,7,8,7,8
5,1,2,1,10,15,10,15
6,1,1,1,12,14,12,14
7,1,1,1,13,18,13,18
8,1,3,4,1,9,1,9
9,1,1,3,2,11,2,11
10,1,2,1,4,20,4,20
11,2,2,0,11,13,11,13
12,2,2,0,3,9,3,9
13,2,0,0,8,1,8,1
14,2,1,4,14,10,14,10
15,2,0,2,16,7,16,7
16,2,1,0,17,5,17,5
17,2,1,2,18,4,18,4
18,2,1,2,19,6,19,6
19,2,1,2,15,12,15,12
20,2,1,0,20,2,20,2
21,3,3,0,4,3,4,3
22,3,1,1,5,2,5,2
23,3,1,0,6,14,6,14
24,3,0,1,7,11,7,11
25,3,2,1,8,16,8,16
26,3,1,1,13,15,13,15
27,3,1,1,17,9,17,9
28,3,1,3,18,1,18,1
29,3,3,1,10,20,10,20
30,3,0,0,19,12,19,12
31,4,2,1,1,13,1,13
32,4,1,0,2,19,2,19
33,4,1,1,3,7,3,7
34,4,4,1,9,8,9,8
35,4,1,2,11,10,11,10
36,4,1,2,12,5,12,5
37,4,0,4,14,17,14,17
38,4,2,4,20,18,20,18
39,4,2,2,16,4,16,4
40,4,0,3,15,6,15,6
41,5,1,2,4,9,4,9
42,5,3,1,6,12,6,12
43,5,1,4,7,1,7,1
44,5,3,0,8,3,8,3
45,5,4,0,10,2,10,2
46,5,4,2,19,20,19,20
47,5,4,1,5,14,5,14
48,5,1,0,13,16,13,16
49,5,1,0,17,15,17,15
50,5,3,1,18,11,18,11
51,6,3,0,1,4,1,4
52,6,1,0,2,6,2,6
53,6,5,1,9,7,9,7
54,6,4,1,11,8,11,8
55,6,1,2,12,17,12,17
56,6,1,1,14,19,14,19
57,6,2,3,15,5,15,5
58,6,1,3,16,10,16,10
59,6,0,3,20,13,20,13
60,6,2,0,3,18,3,18
61,7,0,1,3,1,3,1
62,7,1,1,6,5,6,5
63,7,0,2,7,4,7,4
64,7,0,0,8,13,8,13
65,7,1,1,11,14,11,14
66,7,1,1,15,19,15,19
67,7,1,2,16,9,16,9
68,7,2,0,17,10,17,10
69,7,2,2,18,2,18,2
70,7,1,1,20,12,20,12
71,8,3,2,1,16,1,16
72,8,6,1,2,7,2,7
73,8,3,0,4,8,4,8
74,8,0,1,5,20,5,20
75,8,0,0,9,11,9,11
76,8,1,1,10,6,10,6
77,8,0,1,12,18,12,18
78,8,3,1,13,3,13,3
79,8,2,0,14,15,14,15
80,8,1,1,19,17,19,17
81,9,0,0,1,12,1,12
82,9,0,0,2,17,2,17
83,9,2,1,3,6,3,6
84,9,4,0,4,11,4,11
85,9,0,2,7,14,7,14
86,9,3,1,8,5,8,5
87,9,2,1,9,19,9,19
88,9,1,1,10,13,10,13
89,9,0,0,16,18,16,18
90,9,1,0,20,15,20,15
91,10,2,4,5,9,5,9
92,10,2,0,6,20,6,20
93,10,0,0,11,3,11,3
94,10,2,0,12,2,12,2
95,10,0,2,13,4,13,4
96,10,3,1,14,16,14,16
97,10,1,4,15,1,15,1
98,10,1,1,17,8,17,8
99,10,1,0,18,7,18,7
100,10,0,4,19,10,19,10
101,11,1,1,1,17,1,17
102,11,1,2,2,15,2,15
103,11,3,2,3,5,3,5
104,11,5,0,4,6,4,6
105,11,2,1,7,13,7,13
106,11,1,2,8,19,8,19
107,11,6,1,9,18,9,18
108,11,1,1,10,12,10,12
109,11,1,3,16,11,16,11
110,11,1,1,20,14,20,14
111,12,1,2,5,10,5,10
112,12,1,1,6,16,6,16
113,12,1,1,11,1,11,1
114,12,0,1,12,4,12,4
115,12,0,0,13,9,13,9
116,12,0,1,14,2,14,2
117,12,3,0,15,7,15,7
118,12,3,2,17,20,17,20
119,12,2,1,18,8,18,8
120,12,4,0,19,3,19,3
121,13,3,1,1,2,1,2
122,13,1,2,3,10,3,10
123,13,2,1,4,17,4,17
124,13,1,1,7,19,7,19
125,13,2,2,8,12,8,12
126,13,2,0,9,15,9,15
127,13,1,1,11,20,11,20
128,13,1,0,13,6,13,6
129,13,5,4,16,5,16,5
130,13,0,1,18,14,18,14
131,14,4,3,2,9,2,9
132,14,3,0,5,13,5,13
133,14,1,1,6,11,6,11
134,14,1,3,10,4,10,4
135,14,1,0,12,7,12,7
136,14,2,0,14,3,14,3
137,14,2,1,15,8,15,8
138,14,5,0,17,16,17,16
139,14,3,1,19,18,19,18
140,14,1,5,20,1,20,1
141,15,,,1,14,1,14
142,15,,,3,2,3,2
143,15,,,4,19,4,19
144,15,,,7,5,7,5
145,15,,,8,10,8,10
146,15,,,9,20,9,20
147,15,,,16,15,16,15
148,15,,,18,6,18,6
149,15,,,11,17,11,17
150,15,,,13,12,13,12
151,16,,,2,8,2,8
152,16,,,15,4,15,4
153,16,,,19,16,19,16
154,16,,,20,3,20,3
155,16,,,5,11,5,11
156,16,,,6,1,6,1
157,16,,,10,18,10,18
158,16,,,12,9,12,9
159,16,,,14,13,14,13
160,16,,,17,7,17,7
161,17,,,2,13,2,13
162,17,,,5,4,5,4
163,17,,,6,9,6,9
164,17,,,10,1,10,1
165,17,,,12,16,12,16
166,17,,,14,8,14,8
167,17,,,15,18,15,18
168,17,,,17,3,17,3
169,17,,,19,11,19,11
170,17,,,20,7,20,7
171,18,,,1,19,1,19
172,18,,,3,12,3,12
173,18,,,4,2,4,2
174,18,,,7,10,7,10
175,18,,,8,6,8,6
176,18,,,9,14,9,14
177,18,,,11,15,11,15
178,18,,,13,17,13,17
179,18,,,16,20,16,20
180,18,,,18,5,18,5
181,19,,,1,5,1,5
182,19,,,3,15,3,15
183,19,,,4,14,4,14
184,19,,,7,6,7,6
185,19,,,8,20,8,20
186,19,,,9,10,9,10
187,19,,,11,12,11,12
188,19,,,13,19,13,19
189,19,,,16,2,16,2
190,19,,,18,17,18,17
191,20,,,2,1,2,1
192,20,,,5,16,5,16
193,20,,,6,13,6,13
194,20,,,10,3,10,3
195,20,,,12,8,12,8
196,20,,,14,18,14,18
197,20,,,15,9,15,9
198,20,,,17,4,17,4
199,20,,,19,7,19,7
200,20,,,20,11,20,11
201,21,,,3,13,3,13
202,21,,,6,10,6,10
203,21,,,7,2,7,2
204,21,,,8,4,8,4
205,21,,,11,9,11,9
206,21,,,15,14,15,14
207,21,,,16,1,16,1
208,21,,,17,19,17,19
209,21,,,18,12,18,12
210,21,,,20,5,20,5
211,22,,,1,3,1,3
212,22,,,2,18,2,18
213,22,,,4,7,4,7
214,22,,,5,6,5,6
215,22,,,9,16,9,16
216,22,,,10,17,10,17
217,22,,,12,20,12,20
218,22,,,13,8,13,8
219,22,,,14,11,14,11
220,22,,,19,15,19,15
221,23,,,1,18,1,18
222,23,,,2,5,2,5
223,23,,,3,8,3,8
224,23,,,12,19,12,19
225,23,,,15,17,15,17
226,23,,,16,13,16,13
227,23,,,20,10,20,10
228,23,,,9,4,9,4
229,23,,,11,7,11,7
230,23,,,14,6,14,6
231,24,,,4,1,4,1
232,24,,,5,15,5,15
233,24,,,6,2,6,2
234,24,,,7,9,7,9
235,24,,,8,11,8,11
236,24,,,10,16,10,16
237,24,,,13,20,13,20
238,24,,,17,12,17,12
239,24,,,18,3,18,3
240,24,,,19,14,19,14
241,25,,,1,7,1,7
242,25,,,2,10,2,10
243,25,,,3,4,3,4
244,25,,,9,17,9,17
245,25,,,11,18,11,18
246,25,,,12,6,12,6
247,25,,,14,5,14,5
248,25,,,15,13,15,13
249,25,,,16,8,16,8
250,25,,,20,19,20,19
251,26,,,4,16,4,16
252,26,,,5,12,5,12
253,26,,,6,15,6,15
254,26,,,7,3,7,3
255,26,,,8,9,8,9
256,26,,,10,11,10,11
257,26,,,13,1,13,1
258,26,,,17,14,17,14
259,26,,,18,20,18,20
260,26,,,19,2,19,2
261,27,,,8,7,8,7
262,27,,,9,1,9,1
263,27,,,11,2,11,2
264,27,,,14,12,14,12
265,27,,,15,10,15,10
266,27,,,16,3,16,3
267,27,,,17,6,17,6
268,27,,,18,13,18,13
269,27,,,19,5,19,5
270,27,,,20,4,20,4
271,28,,,1,8,1,8
272,28,,,2,20,2,20
273,28,,,4,18,4,18
274,28,,,5,17,5,17
275,28,,,6,19,6,19
276,28,,,7,16,7,16
277,28,,,10,14,10,14
278,28,,,12,15,12,15
279,28,,,13,11,13,11
280,28,,,9,3,9,3
281,29,,,2,16,2,16
282,29,,,5,18,5,18
283,29,,,6,7,6,7
284,29,,,10,9,10,9
285,29,,,12,11,12,11
286,29,,,14,4,14,4
287,29,,,15,3,15,3
288,29,,,17,13,17,13
289,29,,,19,1,19,1
290,29,,,20,8,20,8
291,30,,,1,10,1,10
292,30,,,3,17,3,17
293,30,,,4,5,4,5
294,30,,,7,20,7,20
295,30,,,8,14,8,14
296,30,,,9,6,9,6
297,30,,,11,19,11,19
298,30,,,13,2,13,2
299,30,,,16,12,16,12
300,30,,,18,15,18,15
301,31,,,1,20,1,20
302,31,,,3,14,3,14
303,31,,,7,12,7,12
304,31,,,8,15,8,15
305,31,,,11,6,11,6
306,31,,,16,17,16,17
307,31,,,18,19,18,19
308,31,,,4,10,4,10
309,31,,,9,2,9,2
310,31,,,13,5,13,5
311,32,,,2,4,2,4
312,32,,,5,1,5,1
313,32,,,6,8,6,8
314,32,,,10,7,10,7
315,32,,,12,3,12,3
316,32,,,14,9,14,9
317,32,,,15,11,15,11
318,32,,,17,18,17,18
319,32,,,19,13,19,13
320,32,,,20,16,20,16
321,33,,,5,8,5,8
322,33,,,6,3,6,3
323,33,,,11,4,11,4
324,33,,,12,1,12,1
325,33,,,13,10,13,10
326,33,,,14,7,14,7
327,33,,,15,20,15,20
328,33,,,17,2,17,2
329,33,,,18,16,18,16
330,33,,,19,9,19,9
331,34,,,1,15,1,15
332,34,,,2,12,2,12
333,34,,,3,11,3,11
334,34,,,4,13,4,13
335,34,,,7,18,7,18
336,34,,,8,17,8,17
337,34,,,9,5,9,5
338,34,,,10,19,10,19
339,34,,,16,14,16,14
340,34,,,20,6,20,6
341,35,,,5,3,5,3
342,35,,,6,4,6,4
343,35,,,11,16,11,16
344,35,,,12,10,12,10
345,35,,,13,7,13,7
346,35,,,14,20,14,20
347,35,,,15,2,15,2
348,35,,,17,1,17,1
349,35,,,18,9,18,9
350,35,,,19,8,19,8
351,36,,,1,11,1,11
352,36,,,2,14,2,14
353,36,,,3,19,3,19
354,36,,,4,12,4,12
355,36,,,7,15,7,15
356,36,,,8,18,8,18
357,36,,,9,13,9,13
358,36,,,10,5,10,5
359,36,,,16,6,16,6
360,36,,,20,17,20,17
361,37,,,2,3,2,3
362,37,,,5,7,5,7
363,37,,,6,18,6,18
364,37,,,10,8,10,8
365,37,,,12,13,12,13
366,37,,,14,1,14,1
367,37,,,15,16,15,16
368,37,,,17,11,17,11
369,37,,,19,4,19,4
370,37,,,20,9,20,9
371,38,,,1,6,1,6
372,38,,,3,20,3,20
373,38,,,4,15,4,15
374,38,,,7,17,7,17
375,38,,,8,2,8,2
376,38,,,9,12,9,12
377,38,,,11,5,11,5
378,38,,,13,14,13,14
379,38,,,16,19,16,19
380,38,,,18,10,18,10